site,longitude,latitude
L1,113.175556,23.235278
L2,113.253889,23.265556
L3,113.234167,23.208889
L4,113.224722,23.144167
L5,113.218333,23.099722
L6,113.214167,23.072778
L7,113.335833,23.169722
L8,113.307778,23.119444
L9,113.262778,23.109722
L10,113.246389,23.0825
L11,113.253333,23.047778
L12,113.359722,23.171667
L13,113.402222,23.141667
L14,113.391389,23.118056
L15,113.395833,23.109167
L16,113.405833,23.087778
L17,113.4025,23.064444
L18,113.416389,23.055556
L19,113.484167,23.083056
L20,113.487222,23.203056
L21,113.517778,23.137222
L22,113.542778,23.098611
L23,113.308611,22.926111
L24,113.408056,22.924722
L25,113.489167,22.907222
L26,113.549722,22.872222
L27,113.523611,22.838333
L28,113.451667,22.870833
L29,113.423889,22.837222
L30,113.409444,22.831667
L31,113.581111,22.741389
L32,113.428333,22.743611
L33,113.477222,22.764444
L34,113.5025,22.723056
L35,113.558333,22.695556
L36,113.610556,22.638889
L37,113.638056,22.583611
L38,113.614722,22.705833
L39,113.641111,22.676667
L40,113.693889,22.590278