species,reference,new design
Pomacea canaliculata,,
Gambusia affinis,1,
Rana catesbeiana,,
Trachemys scriptaelegans,,
Procambarus clarkii,,
Oreochromis niloticus,1,
Atractosteus spatula,,
Macroclemys temminckii,,
Polyodon spathula,,1
Lepisosteus oculatus,,1
Anguilla anguilla,1,
Anguilla rostrata,,
Oncorhynchus kisutch,1,
Oncorhynchus mykiss,,
Micropterus salmoides,1,
Oreochromis mossambicus,,
Chelydra serpentina,,
Limnoperna fortunei,1,
Lepomis macrochirus,,
Mytilus galloprovincialis,,
Clarias batrachus,,
Pterygoplichthys pardalis,,1
Coptodon zillii,,2
Notopterus notopterus,,1
Cirrhinus mrigala,,2
Ictiobus cyprinellus,,1
Prochilodus lineatus,,1
Ictalurus punctatus,,
Lepomis auratus,,1
Lates calcarifer,,
Oreochromis aureus,,2
Parachromis managuensis,,
Sarotherodon galilaeus,,2
Morone saxatilis,,1
Perca fluviatilis,,1
Amphibalanus Amphitrite,,1
Crassostrea gigas,,1
Clarias gariepinus,,1
Sciaenops ocellatus,,1
Pseudorasbora parva,,
Eleotris fusea,,
Pterygoplichthys disjunctivus,,1
Labeo rohita,,2
Tinca tinca,,1
Channa striata,,1
Pygocentrus nattereri,,1